frame,time,speed,obstacle_detected,features_detected
1,1749031676.03,0.03,False,6
2,1749031676.07,0.06,False,5
3,1749031676.11,0.04,False,8
4,1749031676.16,0.11,False,16
5,1749031676.20,0.17,False,16
6,1749031676.23,0.24,False,16
7,1749031676.27,0.30,False,16
8,1749031676.30,0.36,False,16
9,1749031676.33,0.43,False,16
10,1749031676.37,0.48,False,16
11,1749031676.40,0.53,False,16
12,1749031676.43,0.58,False,16
13,1749031676.47,0.63,False,16
14,1749031676.50,0.70,False,16
15,1749031676.54,0.75,False,16
16,1749031676.58,0.79,False,16
17,1749031676.61,0.84,False,16
18,1749031676.64,0.88,False,16
19,1749031676.67,0.93,False,16
20,1749031676.71,0.39,True,16
21,1749031677.74,0.09,True,16
22,1749031678.78,0.02,True,16
23,1749031679.81,0.01,True,16
24,1749031680.85,0.00,True,16
25,1749031681.88,0.00,True,16
26,1749031682.92,0.00,True,16
