frame,time,speed,obstacle_detected,features_detected
1,1749033484.56,0.02,False,200
2,1749033484.60,0.03,False,200
3,1749033484.63,0.06,False,200
4,1749033484.67,0.04,False,200
5,1749033484.70,0.05,False,200
6,1749033484.73,0.10,False,200
7,1749033484.77,0.18,False,200
8,1749033484.80,0.25,False,200
9,1749033484.84,0.32,False,200
10,1749033484.87,0.38,False,200
11,1749033484.90,0.43,False,200
12,1749033484.93,0.48,False,200
13,1749033484.96,0.53,False,200
14,1749033484.99,0.58,False,200
15,1749033485.02,0.62,False,200
16,1749033485.05,0.66,False,200
17,1749033485.08,0.71,False,200
18,1749033485.11,0.75,False,200
19,1749033485.14,0.79,False,200
20,1749033485.17,0.83,True,200
21,1749033486.20,0.36,True,200
22,1749033487.24,0.08,True,200
23,1749033488.28,0.02,True,200
24,1749033489.31,0.01,False,200
25,1749033489.34,0.01,False,200
26,1749033489.37,0.01,True,200
27,1749033490.41,0.05,True,200
28,1749033491.45,0.01,True,200
29,1749033492.48,0.00,False,200
30,1749033492.51,0.00,False,200
31,1749033492.55,0.00,True,200
