frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749064449.61,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749064449.66,0.06,0.00,0.00,-0.96,0.00,0.00,0.00,0.04,0.04,False,200,1.39,0.79,0.87,blind_forward,0
3,1749064449.69,0.09,0.00,-0.00,-0.95,0.00,0.00,-0.00,0.07,0.07,False,200,431.69,191.78,193.80,blind_forward,0
4,1749064449.73,0.13,0.00,-0.00,-0.95,0.00,0.05,-0.00,-0.04,0.06,False,200,560.21,375.57,328.44,blind_forward,0
5,1749064449.76,0.16,0.00,-0.00,-0.96,0.00,0.14,-0.00,-0.24,0.28,False,200,665.78,403.74,393.02,blind_forward,0
6,1749064449.79,0.20,0.01,-0.00,-0.97,0.00,0.25,-0.00,-0.42,0.49,False,200,557.35,390.70,431.04,blind_forward,0
7,1749064449.82,0.23,0.02,-0.00,-0.98,0.00,0.38,-0.00,-0.59,0.71,False,200,441.87,360.57,390.63,blind_forward,0
8,1749064449.85,0.26,0.03,-0.00,-1.00,0.00,0.52,-0.00,-0.76,0.92,False,200,333.59,305.50,323.03,blind_forward,0
9,1749064449.88,0.29,0.05,-0.00,-1.03,0.00,0.66,-0.00,-0.89,1.10,False,200,236.28,244.59,249.38,blind_forward,0
10,1749064449.92,0.32,0.07,-0.00,-1.06,0.00,0.80,-0.00,-0.98,1.26,True,200,145.69,174.65,169.17,dodge_left,0
11,1749064452.17,2.58,1.26,-0.59,-1.15,0.03,0.08,-0.46,0.02,0.47,True,200,80.64,96.33,91.11,dodge_left,0
12,1749064454.43,4.83,1.32,-2.17,-1.15,0.04,0.00,-0.95,0.00,0.95,True,200,56.53,61.83,53.02,no_dodge,0
13,1749064454.46,4.86,1.32,-2.20,-1.15,0.04,0.00,-0.95,0.00,0.95,True,200,40.65,71.40,46.11,no_dodge,0
14,1749064454.49,4.89,1.32,-2.23,-1.15,0.04,0.00,-0.95,0.00,0.95,True,200,33.99,74.40,48.41,dodge_left,0
15,1749064456.74,7.14,1.32,-4.22,-1.07,0.04,0.00,-0.97,0.01,0.97,True,200,23.46,54.67,33.55,dodge_left,0
16,1749064459.00,9.40,1.32,-6.26,-1.07,0.04,0.00,-0.97,0.00,0.97,True,200,20.75,38.33,23.86,no_dodge,0
17,1749064459.03,9.43,1.32,-6.28,-1.07,0.04,0.00,-0.97,0.00,0.97,True,200,21.34,26.95,34.49,dodge_left,0
18,1749064461.28,11.68,1.32,-8.32,-1.07,0.04,0.00,-0.97,0.00,0.97,True,200,16.37,25.71,24.97,no_dodge,0
19,1749064461.31,11.71,1.32,-8.35,-1.07,0.04,0.00,-0.97,0.00,0.97,True,200,16.67,18.48,23.77,no_dodge,0
20,1749064461.34,11.74,1.32,-8.37,-1.07,0.04,0.00,-0.98,0.00,0.98,True,200,30.18,21.93,27.28,no_dodge,0
21,1749064461.36,11.77,1.32,-8.40,-1.07,0.04,0.00,-0.98,0.02,0.98,True,200,49.14,24.54,40.65,no_dodge,0
22,1749064461.39,11.79,1.32,-8.42,-1.07,0.04,0.00,-0.97,0.05,0.97,True,200,143.69,44.64,119.18,dodge_right,0
23,1749064463.64,14.05,1.32,-8.62,-1.08,0.04,-0.00,0.41,0.01,0.41,True,200,72.90,23.07,61.05,dodge_right,0
