frame,time,speed,obstacle_detected
1,1749028226.11,0.03,False
2,1749028226.15,0.04,True
3,1749028227.19,0.01,True
4,1749028228.23,0.01,True
5,1749028229.27,0.00,True
6,1749028230.30,0.00,True
7,1749028231.34,0.00,True
8,1749028232.38,0.00,True
9,1749028233.42,0.00,True
