frame,time,speed,obstacle_detected,features_detected
1,1749032692.90,0.02,False,200
2,1749032692.94,0.03,False,200
3,1749032692.97,0.06,False,200
4,1749032693.00,0.04,False,200
5,1749032693.03,0.05,False,200
6,1749032693.06,0.12,False,200
7,1749032693.10,0.19,False,200
8,1749032693.13,0.25,False,200
9,1749032693.16,0.32,False,200
10,1749032693.19,0.36,False,200
11,1749032693.22,0.42,False,200
12,1749032693.25,0.47,False,200
13,1749032693.28,0.52,False,200
14,1749032693.31,0.57,False,200
15,1749032693.35,0.62,False,200
16,1749032693.39,0.68,False,200
17,1749032693.42,0.73,False,200
18,1749032693.45,0.77,False,200
19,1749032693.49,0.82,False,200
20,1749032693.52,0.86,True,200
21,1749032694.56,0.37,True,200
22,1749032695.60,0.08,True,200
23,1749032696.63,0.02,True,200
24,1749032697.67,0.01,False,200
25,1749032697.70,0.01,False,200
26,1749032697.73,0.01,True,200
27,1749032698.77,0.06,True,200
28,1749032699.80,0.01,True,200
29,1749032700.84,0.00,False,200
30,1749032700.87,0.00,False,200
31,1749032700.90,0.00,True,200
32,1749032701.93,0.05,True,200
33,1749032702.97,0.01,False,200
34,1749032702.99,0.01,False,200
35,1749032703.02,0.01,True,200
36,1749032704.06,0.06,True,200
