frame,time,speed,obstacle_detected,features_detected
1,1749029101.80,0.03,False,5
2,1749029101.84,0.05,False,5
3,1749029101.88,0.04,False,6
4,1749029101.91,0.07,False,5
5,1749029101.95,0.15,False,12
6,1749029101.99,0.22,False,12
7,1749029102.02,0.28,False,12
8,1749029102.05,0.33,False,12
9,1749029102.08,0.39,False,12
10,1749029102.11,0.45,False,12
11,1749029102.15,0.50,False,12
12,1749029102.18,0.55,False,12
13,1749029102.21,0.60,False,12
14,1749029102.24,0.65,False,12
15,1749029102.28,0.70,False,12
16,1749029102.31,0.75,False,12
17,1749029102.35,0.79,False,12
18,1749029102.38,0.83,False,12
19,1749029102.40,0.88,False,12
20,1749029102.43,0.38,True,12
21,1749029103.47,0.08,True,12
22,1749029104.51,0.02,True,12
23,1749029105.55,0.01,True,12
24,1749029106.58,0.00,True,12
25,1749029107.62,0.00,True,12
26,1749029108.66,0.00,True,12
27,1749029109.70,0.00,True,12
