frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749064531.72,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749064531.76,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,1.00,0.52,0.61,blind_forward,0
3,1749064531.79,0.08,0.00,0.00,-0.96,0.00,0.00,0.00,0.06,0.06,False,200,151.66,124.35,139.76,blind_forward,0
4,1749064531.82,0.11,0.00,0.00,-0.95,0.00,0.03,0.00,-0.00,0.03,False,200,247.53,229.32,216.58,blind_forward,0
5,1749064531.86,0.14,0.00,0.00,-0.96,0.00,0.11,0.00,-0.19,0.22,False,200,358.72,257.25,275.13,blind_forward,0
6,1749064531.89,0.17,0.01,0.00,-0.96,-0.00,0.20,0.00,-0.35,0.40,False,200,368.20,263.78,295.91,blind_forward,0
7,1749064531.92,0.21,0.02,0.00,-0.98,-0.00,0.33,0.00,-0.53,0.62,False,200,306.19,254.45,274.02,blind_forward,0
8,1749064531.95,0.24,0.03,0.00,-1.00,-0.00,0.48,-0.00,-0.72,0.86,False,200,238.88,223.72,228.32,blind_forward,0
9,1749064531.98,0.27,0.05,0.00,-1.02,-0.00,0.62,-0.00,-0.86,1.06,False,200,163.00,166.67,164.15,blind_forward,0
10,1749064532.01,0.30,0.06,-0.00,-1.05,-0.00,0.73,-0.00,-0.94,1.20,True,200,108.79,123.52,117.68,no_dodge,0
11,1749064532.04,0.33,0.09,-0.00,-1.08,-0.00,0.86,-0.00,-1.00,1.32,True,200,64.22,83.21,75.55,dodge_left,0
12,1749064534.31,2.60,1.32,-1.18,-1.21,0.07,0.09,-0.92,0.02,0.93,True,200,42.66,54.35,43.96,no_dodge,0
13,1749064534.35,2.64,1.33,-1.21,-1.21,0.08,0.08,-0.92,0.02,0.93,True,200,102.49,70.07,35.29,dodge_right,0
14,1749064536.63,4.92,1.38,-1.44,-1.22,0.03,0.00,0.41,0.01,0.41,True,200,54.78,42.73,19.99,dodge_right,0
15,1749064538.89,7.18,1.38,0.12,-1.23,0.03,-0.00,0.95,0.00,0.95,True,200,46.10,37.12,16.87,dodge_right,0
16,1749064541.14,9.43,1.38,2.13,-1.23,0.03,-0.00,0.97,0.00,0.97,True,200,32.38,34.57,18.63,dodge_right,0
17,1749064543.40,11.69,1.38,4.16,-1.23,0.03,-0.00,0.97,0.00,0.97,True,200,22.33,26.24,25.29,no_dodge,0
18,1749064543.43,11.72,1.38,4.19,-1.23,0.03,-0.00,0.97,0.00,0.97,True,200,57.78,23.02,16.85,dodge_right,0
