frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749057838.26,0.02,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749057838.30,0.06,0.00,0.00,-0.96,0.00,0.00,0.00,0.04,0.04,False,200,1.33,0.82,0.91,blind_forward,0
3,1749057838.33,0.09,0.00,0.00,-0.95,0.00,0.00,0.00,0.07,0.07,False,200,245.31,200.47,226.52,blind_forward,0
4,1749057838.36,0.12,0.00,0.00,-0.95,0.00,0.03,0.00,0.00,0.03,False,200,417.62,365.21,333.05,blind_forward,0
5,1749057838.39,0.16,0.00,0.00,-0.96,0.00,0.10,0.00,-0.16,0.19,False,200,616.39,427.22,433.91,blind_forward,0
6,1749057838.43,0.19,0.01,0.00,-0.96,0.00,0.21,0.00,-0.36,0.41,False,200,624.31,426.61,473.57,blind_forward,0
7,1749057838.46,0.22,0.02,0.00,-0.98,0.00,0.34,0.00,-0.54,0.64,False,200,483.59,387.41,415.51,blind_forward,0
8,1749057838.49,0.25,0.03,0.00,-1.00,0.00,0.48,0.00,-0.71,0.85,False,200,377.22,345.16,354.66,blind_forward,0
9,1749057838.51,0.28,0.04,0.00,-1.02,0.00,0.60,0.00,-0.84,1.04,False,200,279.07,286.28,281.82,blind_forward,0
10,1749057838.55,0.31,0.06,0.00,-1.05,0.00,0.74,0.00,-0.94,1.19,True,200,178.27,202.09,192.80,dodge_left,0
11,1749057840.80,2.56,1.19,-0.59,-1.13,0.02,0.08,-0.46,0.02,0.47,True,200,97.26,110.20,103.07,no_dodge,0
12,1749057840.83,2.59,1.20,-0.60,-1.13,0.02,0.08,-0.46,0.02,0.47,True,200,79.54,71.40,63.35,dodge_right,0
13,1749057843.11,4.88,1.25,0.17,-1.21,-0.02,0.00,0.90,0.00,0.90,True,200,49.92,43.35,35.90,dodge_right,0
14,1749057845.37,7.13,1.25,2.15,-1.21,-0.02,0.00,0.97,0.00,0.97,True,200,36.81,38.37,24.27,dodge_right,0
15,1749057847.64,9.40,1.25,4.20,-1.22,-0.02,0.00,0.97,0.00,0.97,True,200,25.86,27.07,26.07,no_dodge,0
16,1749057847.67,9.43,1.25,4.22,-1.22,-0.02,0.00,0.97,0.00,0.97,True,200,76.87,34.52,21.76,dodge_right,0
17,1749057849.93,11.69,1.25,6.26,-1.22,-0.02,0.00,0.97,0.00,0.97,True,200,56.27,32.16,19.82,dodge_right,0
18,1749057852.18,13.95,1.25,8.30,-1.22,-0.02,0.00,0.97,0.00,0.97,True,200,37.29,26.57,17.94,dodge_right,0
19,1749057854.44,16.20,1.25,10.33,-1.22,-0.02,0.00,0.97,0.00,0.97,True,200,28.81,20.81,16.30,dodge_right,0
