frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749065551.06,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749065551.10,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,0.93,0.49,0.59,blind_forward,0
3,1749065551.13,0.08,0.00,0.00,-0.96,-0.00,0.00,0.00,0.06,0.06,False,200,215.15,128.44,142.04,blind_forward,0
4,1749065551.16,0.12,0.00,0.00,-0.95,-0.00,0.04,0.00,-0.02,0.04,False,200,336.43,227.88,233.09,blind_forward,0
5,1749065551.19,0.15,0.00,0.00,-0.96,-0.00,0.11,0.00,-0.19,0.22,False,200,401.09,259.50,275.37,blind_forward,0
6,1749065551.22,0.18,0.01,0.00,-0.97,-0.00,0.21,0.00,-0.36,0.42,False,200,375.77,271.24,294.26,blind_forward,0
7,1749065551.25,0.21,0.02,0.00,-0.98,-0.00,0.33,0.00,-0.53,0.62,False,200,287.11,239.72,250.33,blind_forward,0
8,1749065551.28,0.24,0.03,0.00,-1.00,-0.00,0.45,0.00,-0.68,0.82,False,200,238.91,209.18,212.59,blind_forward,0
9,1749065551.31,0.27,0.04,0.00,-1.02,-0.00,0.59,0.00,-0.83,1.02,False,200,171.99,165.16,160.71,blind_forward,0
10,1749065551.34,0.29,0.06,0.00,-1.04,-0.00,0.71,0.00,-0.93,1.17,False,200,116.56,127.36,118.99,blind_forward,0
11,1749065551.37,0.32,0.08,0.00,-1.07,-0.00,0.83,0.00,-0.99,1.30,False,200,71.12,91.34,79.80,blind_forward,0
12,1749065551.40,0.35,0.11,0.00,-1.10,-0.00,0.95,0.00,-1.03,1.40,False,200,45.12,58.14,48.37,blind_forward,0
