frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749057226.54,0.03,0.00,0.00,-0.86,0.00,0.00,0.00,0.03,0.03,False,200,0.00,0.00,0.00,blind_forward,0
2,1749057226.88,0.37,0.00,0.00,-0.84,0.00,0.00,0.00,0.05,0.05,False,200,49.53,52.94,47.96,blind_forward,0
3,1749057227.23,0.72,0.12,-0.00,-0.99,-0.00,1.00,-0.00,-1.03,1.44,False,200,65.56,77.28,58.10,blind_forward,0
4,1749057227.52,1.00,0.52,-0.00,-1.25,-0.00,1.85,-0.00,-0.74,1.99,False,200,74.73,98.65,69.02,blind_forward,0
5,1749057227.85,1.34,1.27,-0.00,-1.42,-0.00,2.59,-0.00,-0.32,2.61,False,200,70.46,90.32,59.49,blind_forward,0
6,1749057228.19,1.68,2.21,-0.00,-1.49,-0.00,3.09,0.00,-0.12,3.09,False,200,73.56,80.33,59.35,blind_forward,0
7,1749057228.52,2.01,3.27,0.00,-1.51,-0.00,3.41,0.00,-0.04,3.41,False,200,63.00,56.24,57.56,blind_forward,0
8,1749057228.87,2.36,4.49,0.00,-1.52,-0.00,3.61,0.00,-0.01,3.61,False,200,54.42,43.52,56.57,blind_forward,0
9,1749057229.20,2.69,5.63,0.00,-1.52,-0.00,3.72,0.00,0.00,3.72,False,200,54.20,41.39,55.91,blind_forward,0
10,1749057229.52,3.01,6.82,0.00,-1.52,0.00,3.80,0.00,0.00,3.80,True,200,85.05,57.38,63.64,dodge_right,0
11,1749057232.11,5.60,11.22,1.15,-2.26,-1.10,0.20,0.91,-0.00,0.94,True,200,50.83,40.96,40.01,dodge_right,0
12,1749057234.46,7.95,11.33,2.07,-2.21,0.55,0.02,0.73,0.00,0.73,True,200,30.65,26.87,23.94,no_dodge,0
13,1749057234.55,8.04,11.33,1.91,-2.21,0.70,0.02,0.64,0.04,0.64,True,200,92.63,138.60,87.91,no_dodge,0
14,1749057234.89,8.38,11.33,1.90,-2.21,1.09,0.02,0.24,0.03,0.25,True,200,57.02,74.65,57.99,no_dodge,0
15,1749057235.22,8.71,11.33,1.89,-2.21,0.87,0.01,0.05,0.04,0.06,True,200,35.10,40.92,37.35,no_dodge,0
16,1749057235.56,9.05,11.33,1.89,-2.21,0.73,0.01,0.00,0.03,0.03,True,200,19.05,21.90,20.67,no_dodge,0
17,1749057235.90,9.39,11.33,1.89,-2.21,0.70,0.00,-0.01,0.01,0.01,True,200,9.71,12.02,11.16,no_dodge,0
18,1749057236.25,9.74,11.33,1.88,-2.20,0.69,0.00,-0.00,0.00,0.00,True,200,4.95,6.22,5.84,no_dodge,0
19,1749057236.57,10.06,11.33,1.88,-2.20,0.69,-0.00,-0.00,-0.00,0.00,True,200,2.59,3.24,3.24,no_dodge,0
20,1749057236.90,10.39,11.33,1.88,-2.21,0.69,-0.00,0.00,-0.00,0.00,True,200,1.42,1.70,1.81,no_dodge,0
21,1749057237.24,10.73,11.33,1.88,-2.21,0.69,-0.00,0.00,-0.00,0.01,True,200,0.81,1.12,1.19,no_dodge,0
22,1749057237.58,11.07,11.33,1.88,-2.21,0.69,-0.00,0.00,-0.00,0.01,True,200,0.50,1.73,0.87,no_dodge,0
23,1749057237.92,11.41,11.32,1.89,-2.21,0.69,-0.00,0.00,-0.00,0.00,True,200,0.33,0.92,0.61,no_dodge,0
24,1749057238.26,11.75,11.32,1.89,-2.21,0.69,-0.00,0.00,-0.00,0.00,True,200,0.23,0.56,0.54,no_dodge,0
25,1749057238.59,12.08,11.32,1.89,-2.21,0.69,-0.00,0.00,-0.00,0.00,False,200,0.23,0.36,0.68,dodge,1
26,1749057238.93,12.42,11.32,1.89,-2.21,0.69,0.00,0.00,-0.00,0.00,False,200,0.21,0.26,0.60,dodge,2
27,1749057239.26,12.75,11.32,1.89,-2.21,0.69,0.00,-0.00,-0.00,0.00,False,200,0.22,0.22,0.60,dodge,3
28,1749057239.61,13.10,11.32,1.89,-2.21,0.69,0.00,-0.00,-0.00,0.00,False,200,0.19,0.19,0.43,dodge,4
29,1749057239.93,13.42,11.32,1.89,-2.21,0.69,0.00,-0.00,-0.00,0.00,False,200,0.17,0.17,0.46,resume,0
30,1749057240.26,13.75,11.32,1.89,-2.21,0.69,0.00,-0.00,-0.00,0.00,True,200,42.27,48.78,36.57,no_dodge,0
31,1749057240.60,14.09,11.38,1.89,-2.25,0.16,0.45,-0.00,-0.22,0.50,True,200,38.61,42.30,35.74,no_dodge,0
32,1749057240.93,14.42,11.62,1.89,-2.31,-0.20,0.97,-0.00,-0.12,0.98,True,200,39.22,44.85,32.33,no_dodge,0
33,1749057241.27,14.75,12.02,1.89,-2.33,-0.05,1.35,-0.00,-0.03,1.35,True,200,43.93,41.04,34.02,no_dodge,0
34,1749057241.60,15.09,12.50,1.89,-2.34,0.06,1.59,-0.00,-0.00,1.59,True,200,44.07,37.73,38.04,no_dodge,0
35,1749057241.93,15.42,13.07,1.89,-2.33,0.01,1.74,-0.00,0.01,1.74,True,200,41.90,33.02,34.21,no_dodge,0
36,1749057242.27,15.76,13.67,1.89,-2.33,-0.02,1.84,-0.00,0.01,1.84,True,200,46.87,32.35,32.68,dodge_right,0
