frame,time,features,flow_left,flow_center,flow_right,speed,simgetimage_s,decode_s,processing_s,loop_s
2,1748981466.27,75,1.529,1.322,2.095,0.05,0.020,0.020,0.0,0.035
3,1748981466.32,75,1.566,1.305,1.967,0.08,0.021,0.021,0.0,0.036
4,1748981466.38,75,1.731,1.346,2.463,0.08,0.024,0.024,0.0,0.039
5,1748981466.43,75,0.891,0.694,1.268,1.84,0.020,0.020,0.0,2.049
6,1748981468.47,65,1678.328,109.363,103.098,1.84,0.019,0.019,0.0,1.043
7,1748981469.52,75,843.812,61.577,57.285,0.58,0.021,0.021,0.0,3.270
8,1748981472.79,75,424.171,33.872,30.387,0.46,0.023,0.023,0.0,2.264
9,1748981475.05,73,215.518,22.381,19.163,0.49,0.020,0.020,0.0,2.261
10,1748981477.31,73,110.369,17.596,15.128,0.02,0.020,0.020,0.0,3.275
