frame,time,speed,obstacle_detected,features_detected
1,1749034309.35,0.02,False,200
2,1749034309.39,0.03,False,200
3,1749034309.42,0.05,False,200
4,1749034309.45,0.05,False,200
5,1749034309.48,0.04,False,200
6,1749034309.51,0.08,False,200
7,1749034309.54,0.16,False,200
8,1749034309.57,0.22,False,200
9,1749034309.61,0.28,False,200
10,1749034309.64,0.34,False,200
11,1749034309.67,0.40,False,200
12,1749034309.70,0.45,False,200
13,1749034309.73,0.50,False,200
14,1749034309.76,0.55,False,200
15,1749034309.79,0.59,False,200
16,1749034309.82,0.64,False,200
17,1749034309.85,0.69,False,200
18,1749034309.88,0.73,False,200
19,1749034309.91,0.78,False,200
20,1749034309.94,0.82,True,200
21,1749034310.98,0.36,True,200
22,1749034312.02,0.08,True,200
23,1749034313.05,0.02,True,200
24,1749034314.09,0.01,False,200
25,1749034314.12,0.01,False,200
26,1749034314.15,0.01,True,200
27,1749034315.18,0.05,True,200
28,1749034316.22,0.01,True,200
29,1749034317.25,0.00,False,200
30,1749034317.28,0.00,False,200
31,1749034317.31,0.00,True,200
32,1749034318.35,0.05,True,200
