frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749064992.39,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749064992.44,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,1.06,0.55,0.72,blind_forward,0
3,1749064992.47,0.08,0.00,0.00,-0.96,-0.00,0.00,0.00,0.06,0.06,False,200,297.71,128.10,134.49,blind_forward,0
4,1749064992.50,0.12,0.00,0.00,-0.96,-0.00,0.04,0.00,-0.03,0.05,False,200,399.48,235.05,243.33,blind_forward,0
5,1749064992.53,0.15,0.00,0.00,-0.96,-0.00,0.12,0.00,-0.21,0.24,False,200,430.12,253.65,288.01,blind_forward,0
6,1749064992.56,0.18,0.01,0.00,-0.97,-0.00,0.22,0.00,-0.38,0.44,False,200,405.39,255.13,295.41,blind_forward,0
7,1749064992.59,0.21,0.02,0.00,-0.99,-0.00,0.34,0.00,-0.55,0.64,False,200,298.49,228.10,247.99,blind_forward,0
8,1749064992.62,0.24,0.03,0.00,-1.00,-0.00,0.46,0.00,-0.70,0.84,False,200,227.07,200.59,208.80,blind_forward,0
9,1749064992.65,0.27,0.04,0.00,-1.03,-0.00,0.60,0.00,-0.84,1.04,False,200,158.40,156.14,156.18,blind_forward,0
10,1749064992.68,0.30,0.06,0.00,-1.05,-0.00,0.72,0.00,-0.93,1.18,True,200,107.07,119.32,114.37,no_dodge,0
11,1749064992.71,0.33,0.08,0.00,-1.08,-0.00,0.85,0.00,-1.00,1.31,True,200,64.86,83.67,75.51,dodge_left,0
12,1749064994.96,2.58,1.31,-1.17,-1.21,0.07,0.09,-0.92,0.02,0.92,True,200,44.41,54.12,43.97,no_dodge,0
13,1749064994.99,2.61,1.31,-1.20,-1.21,0.07,0.08,-0.92,0.02,0.93,True,200,65.32,61.24,33.70,dodge_right,0
14,1749064997.25,4.87,1.37,-0.84,-1.37,0.01,0.00,0.87,0.00,0.87,True,200,45.52,46.06,20.28,dodge_right,0
15,1749064999.51,7.13,1.37,1.13,-1.37,0.01,-0.00,0.97,0.00,0.97,True,200,42.33,37.29,15.67,dodge_right,0
16,1749065001.77,9.39,1.37,3.16,-1.37,0.01,-0.00,0.97,0.00,0.97,True,200,28.67,29.98,19.80,no_dodge,0
17,1749065001.80,9.42,1.37,3.19,-1.37,0.01,-0.00,0.97,0.00,0.97,True,200,28.14,56.15,22.92,no_dodge,0
18,1749065001.83,9.44,1.37,3.22,-1.37,0.01,-0.00,0.98,0.00,0.98,True,200,24.02,71.95,23.92,no_dodge,0
19,1749065001.86,9.48,1.37,3.25,-1.37,0.01,-0.00,0.98,0.03,0.98,True,200,49.85,74.49,48.12,no_dodge,0
20,1749065001.89,9.51,1.37,3.28,-1.37,0.01,-0.00,0.97,0.05,0.97,True,200,65.90,75.95,74.70,no_dodge,0
21,1749065001.92,9.54,1.37,3.30,-1.37,0.01,-0.00,0.96,0.06,0.96,True,200,61.79,79.95,81.45,dodge_left,0
