frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749065336.16,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749065336.20,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,0.93,0.54,0.62,blind_forward,0
3,1749065336.24,0.09,0.00,0.00,-0.96,-0.00,0.01,-0.00,0.05,0.05,False,200,195.70,145.99,118.75,blind_forward,0
4,1749065336.28,0.12,0.00,-0.00,-0.96,-0.00,0.06,-0.00,-0.06,0.08,False,200,363.07,274.12,232.57,blind_forward,0
5,1749065336.31,0.16,0.00,-0.00,-0.96,-0.00,0.16,-0.00,-0.28,0.32,False,200,433.14,286.18,286.73,blind_forward,0
6,1749065336.34,0.19,0.01,-0.00,-0.97,-0.00,0.28,-0.00,-0.46,0.54,False,200,369.17,281.16,302.17,blind_forward,0
7,1749065336.37,0.22,0.02,-0.00,-0.99,-0.00,0.39,-0.00,-0.62,0.73,False,200,266.49,229.92,239.81,blind_forward,0
8,1749065336.40,0.25,0.03,-0.00,-1.01,-0.00,0.53,-0.00,-0.78,0.94,False,200,201.46,199.15,199.01,blind_forward,0
9,1749065336.43,0.28,0.05,-0.00,-1.03,-0.00,0.67,-0.00,-0.90,1.12,False,200,135.29,146.65,140.85,blind_forward,0
10,1749065336.46,0.31,0.07,-0.00,-1.06,-0.00,0.78,-0.00,-0.97,1.25,False,200,85.87,107.40,97.88,blind_forward,0
11,1749065336.49,0.34,0.10,-0.00,-1.09,-0.00,0.91,-0.00,-1.02,1.36,False,200,50.17,69.22,59.75,blind_forward,0
12,1749065336.52,0.36,0.13,-0.00,-1.12,-0.00,1.02,-0.00,-1.04,1.45,False,200,39.87,41.55,38.33,blind_forward,0
13,1749065336.55,0.39,0.16,-0.00,-1.15,-0.00,1.12,-0.00,-1.04,1.52,False,200,45.46,26.97,34.65,blind_forward,0
14,1749065336.58,0.42,0.19,-0.00,-1.18,-0.00,1.22,-0.00,-1.02,1.59,False,200,52.88,26.86,38.88,blind_forward,0
15,1749065336.60,0.45,0.22,-0.00,-1.21,-0.00,1.31,-0.00,-1.00,1.65,False,200,66.98,34.62,50.74,blind_forward,0
16,1749065336.63,0.48,0.27,-0.00,-1.24,-0.00,1.40,-0.00,-0.97,1.71,False,200,79.06,43.56,62.08,blind_forward,0
17,1749065336.66,0.51,0.30,-0.00,-1.26,-0.00,1.49,-0.00,-0.94,1.76,False,200,85.91,49.21,67.62,blind_forward,0
18,1749065336.69,0.54,0.35,-0.00,-1.29,-0.00,1.57,-0.00,-0.89,1.81,False,200,95.91,58.04,77.82,blind_forward,0
19,1749065336.72,0.57,0.40,-0.00,-1.32,0.00,1.66,-0.00,-0.85,1.86,False,200,100.08,62.70,80.86,blind_forward,0
20,1749065336.75,0.59,0.44,-0.00,-1.34,0.00,1.73,-0.00,-0.81,1.91,False,200,108.72,69.52,89.15,blind_forward,0
21,1749065336.78,0.63,0.50,-0.00,-1.36,0.00,1.82,-0.00,-0.76,1.97,False,200,115.72,74.25,95.75,blind_forward,0
22,1749065336.81,0.66,0.56,-0.00,-1.39,0.00,1.90,-0.00,-0.71,2.03,False,200,121.73,78.08,99.49,blind_forward,0
23,1749065336.84,0.68,0.61,-0.00,-1.40,0.00,1.97,-0.00,-0.67,2.08,False,200,119.70,74.88,96.63,blind_forward,0
24,1749065336.87,0.72,0.67,-0.00,-1.42,0.00,2.04,-0.00,-0.62,2.13,False,200,136.29,81.45,106.78,blind_forward,0
