frame,time,speed,obstacle_detected,features_detected
1,1749028430.51,0.03,False,11
2,1749028430.55,0.05,False,11
3,1749028430.58,0.05,False,11
4,1749028430.63,0.05,False,11
5,1749028430.65,0.11,False,11
6,1749028430.68,0.17,False,11
7,1749028430.71,0.22,False,11
8,1749028430.74,0.28,False,11
9,1749028430.77,0.34,False,11
10,1749028430.80,0.39,False,11
11,1749028430.83,0.44,False,11
12,1749028430.86,0.49,False,11
13,1749028430.89,0.53,False,11
14,1749028430.92,0.58,False,11
15,1749028430.95,0.63,False,11
16,1749028430.98,0.67,False,11
17,1749028431.01,0.72,False,11
18,1749028431.04,0.76,False,11
19,1749028431.07,0.81,False,11
20,1749028431.10,0.36,True,11
21,1749028432.13,0.08,True,11
22,1749028433.17,0.02,True,11
23,1749028434.20,0.01,True,11
24,1749028435.24,0.00,True,11
25,1749028436.27,0.00,True,11
26,1749028437.31,0.00,True,11
