frame,time,speed,obstacle_detected,features_detected
1,1749029344.05,0.03,False,7
2,1749029344.10,0.06,False,7
3,1749029344.14,0.04,False,5
4,1749029344.18,0.07,False,11
5,1749029344.21,0.14,False,11
6,1749029344.25,0.21,False,11
7,1749029344.29,0.29,False,11
8,1749029344.32,0.34,False,11
9,1749029344.35,0.39,False,11
10,1749029344.39,0.45,False,11
11,1749029344.42,0.50,False,11
12,1749029344.45,0.54,False,11
13,1749029344.47,0.59,False,11
14,1749029344.50,0.64,False,11
15,1749029344.53,0.68,False,11
16,1749029344.56,0.72,False,11
17,1749029344.59,0.76,False,11
18,1749029344.61,0.80,False,11
19,1749029344.65,0.85,False,11
20,1749029344.68,0.37,True,11
21,1749029345.72,0.08,True,11
22,1749029346.75,0.02,True,11
23,1749029347.79,0.01,True,11
24,1749029348.83,0.00,True,11
