frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749064672.63,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749064672.67,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,1.01,0.56,0.60,blind_forward,0
3,1749064672.70,0.08,0.00,-0.00,-0.96,0.00,0.00,-0.00,0.06,0.06,False,200,218.36,134.96,144.53,blind_forward,0
4,1749064672.73,0.11,0.00,-0.00,-0.95,0.00,0.04,-0.00,-0.02,0.04,False,200,343.22,236.43,239.08,blind_forward,0
5,1749064672.77,0.15,0.00,-0.00,-0.96,0.00,0.14,-0.00,-0.25,0.28,False,200,438.95,302.22,303.15,blind_forward,0
6,1749064672.81,0.19,0.01,-0.00,-0.97,0.00,0.27,-0.00,-0.44,0.52,False,200,433.88,290.13,319.33,blind_forward,0
7,1749064672.84,0.22,0.02,-0.00,-0.99,0.00,0.39,-0.00,-0.62,0.73,False,200,298.52,236.71,248.98,blind_forward,0
8,1749064672.87,0.25,0.03,-0.00,-1.01,0.00,0.53,-0.00,-0.78,0.94,False,200,215.30,195.49,197.63,blind_forward,0
9,1749064672.90,0.28,0.05,-0.00,-1.03,0.00,0.67,-0.00,-0.90,1.12,False,200,145.61,150.43,145.74,blind_forward,0
10,1749064672.92,0.31,0.07,-0.00,-1.06,-0.00,0.79,-0.00,-0.97,1.25,False,200,92.18,108.53,100.13,blind_forward,0
11,1749064672.95,0.34,0.10,-0.00,-1.09,-0.00,0.91,-0.00,-1.02,1.36,False,200,53.59,69.97,61.17,blind_forward,0
12,1749064672.98,0.36,0.12,-0.00,-1.12,-0.00,1.01,-0.00,-1.04,1.45,False,200,43.13,41.90,39.60,blind_forward,0
13,1749064673.01,0.40,0.16,-0.00,-1.15,-0.00,1.13,-0.00,-1.04,1.53,False,200,47.57,26.95,35.95,blind_forward,0
14,1749064673.04,0.42,0.19,-0.00,-1.18,-0.00,1.22,-0.00,-1.02,1.59,False,200,54.78,26.50,40.06,blind_forward,0
15,1749064673.07,0.45,0.23,-0.00,-1.21,-0.00,1.32,-0.00,-1.00,1.65,False,200,77.01,38.86,58.87,blind_forward,0
16,1749064673.10,0.49,0.27,-0.00,-1.24,-0.00,1.42,-0.00,-0.96,1.72,False,200,82.69,44.16,63.87,blind_forward,0
17,1749064673.14,0.52,0.32,-0.00,-1.27,-0.00,1.51,-0.00,-0.92,1.77,False,200,102.98,56.67,78.09,blind_forward,0
18,1749064673.17,0.55,0.37,-0.00,-1.30,-0.00,1.62,-0.00,-0.87,1.84,False,200,117.09,67.08,89.96,blind_forward,0
19,1749064673.20,0.58,0.42,-0.00,-1.33,-0.00,1.70,-0.00,-0.83,1.89,False,200,123.39,71.15,93.22,blind_forward,0
20,1749064673.23,0.62,0.48,-0.00,-1.35,-0.00,1.79,-0.00,-0.77,1.95,False,200,135.64,82.81,107.77,blind_forward,0
21,1749064673.27,0.65,0.55,-0.00,-1.38,-0.00,1.88,-0.00,-0.72,2.02,False,200,145.73,90.66,116.35,blind_forward,0
22,1749064673.31,0.69,0.63,-0.00,-1.41,-0.00,1.99,-0.00,-0.65,2.10,False,200,169.29,101.94,132.60,blind_forward,0
23,1749064673.34,0.73,0.70,-0.00,-1.43,-0.00,2.07,-0.00,-0.61,2.16,False,200,161.86,95.73,125.48,blind_forward,0
24,1749064673.39,0.77,0.78,-0.00,-1.45,-0.00,2.16,-0.00,-0.55,2.23,False,200,172.85,100.81,132.10,blind_forward,0
25,1749064673.42,0.80,0.84,-0.00,-1.47,-0.00,2.23,-0.00,-0.51,2.29,False,200,161.49,89.81,119.13,blind_forward,0
