frame,time,speed,obstacle_detected,features_detected
1,1749035508.82,0.02,False,200
2,1749035508.86,0.04,False,200
3,1749035508.90,0.06,False,200
4,1749035508.95,0.18,False,200
5,1749035508.98,0.38,False,200
6,1749035509.02,0.60,False,200
7,1749035509.05,0.84,False,200
8,1749035509.08,1.07,False,200
9,1749035509.12,1.22,False,200
10,1749035509.15,1.35,False,200
11,1749035509.18,1.46,False,200
12,1749035509.22,1.55,False,200
13,1749035509.25,1.61,False,200
14,1749035509.28,1.68,False,200
15,1749035509.31,1.74,False,200
16,1749035509.38,1.85,False,200
17,1749035509.42,1.92,False,200
18,1749035509.46,2.01,False,200
19,1749035509.50,2.07,False,200
20,1749035509.54,2.14,False,200
21,1749035509.57,2.21,False,200
22,1749035509.61,2.27,False,200
23,1749035509.64,2.33,False,200
24,1749035509.68,2.40,False,200
25,1749035509.71,2.46,False,200
26,1749035509.74,2.52,False,200
27,1749035509.77,2.58,False,200
28,1749035509.80,2.63,False,200
29,1749035509.84,2.69,False,200
30,1749035509.87,2.74,True,200
31,1749035510.91,0.99,True,200
32,1749035511.95,0.22,True,200
33,1749035512.99,0.05,True,200
34,1749035514.03,0.01,True,200
35,1749035515.07,0.00,True,200
