frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749064238.82,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749064238.86,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,1.03,0.63,0.77,blind_forward,0
3,1749064238.89,0.09,0.00,0.00,-0.96,0.00,0.00,0.00,0.06,0.06,False,200,332.31,198.66,227.18,blind_forward,0
4,1749064238.92,0.12,0.00,0.00,-0.96,0.00,0.04,0.00,-0.01,0.04,False,200,528.46,358.78,372.81,blind_forward,0
5,1749064238.95,0.15,0.00,0.00,-0.96,0.00,0.11,0.00,-0.19,0.22,False,200,754.56,445.98,477.46,blind_forward,0
6,1749064238.98,0.18,0.01,0.00,-0.97,0.00,0.22,0.00,-0.38,0.44,False,200,683.97,432.57,500.64,blind_forward,0
7,1749064239.02,0.21,0.02,0.00,-0.98,0.00,0.34,0.00,-0.55,0.64,False,200,502.49,392.55,420.43,blind_forward,0
8,1749064239.05,0.24,0.03,0.00,-1.00,0.00,0.48,0.00,-0.71,0.86,False,200,376.35,344.36,350.59,blind_forward,0
9,1749064239.07,0.27,0.04,0.00,-1.02,0.00,0.60,0.00,-0.84,1.04,False,200,258.71,270.30,262.49,blind_forward,0
10,1749064239.11,0.30,0.07,0.00,-1.05,0.00,0.75,0.00,-0.95,1.21,True,200,170.56,202.50,187.54,dodge_left,0
11,1749064241.36,2.55,1.19,-0.59,-1.13,0.02,0.08,-0.46,0.02,0.47,True,200,92.25,111.59,101.34,no_dodge,0
12,1749064241.39,2.59,1.20,-0.60,-1.13,0.02,0.08,-0.46,0.02,0.47,True,200,71.81,71.62,61.48,dodge_right,0
13,1749064243.65,4.84,1.24,0.17,-1.22,-0.02,0.00,0.90,0.00,0.90,True,200,49.70,41.85,35.87,dodge_right,0
14,1749064245.90,7.10,1.25,2.15,-1.22,-0.02,0.00,0.97,0.00,0.97,True,200,33.91,36.81,24.16,no_dodge,0
15,1749064245.93,7.13,1.25,2.18,-1.22,-0.02,0.00,0.97,0.00,0.97,True,200,38.45,41.94,78.93,dodge_left,0
16,1749064248.18,9.38,1.25,1.84,-1.40,-0.02,-0.00,-0.87,0.00,0.87,True,200,22.65,24.93,56.11,dodge_left,0
17,1749064250.44,11.63,1.25,-0.13,-1.40,-0.02,-0.00,-0.97,0.00,0.97,True,200,23.76,27.01,40.99,dodge_left,0
18,1749064252.69,13.89,1.25,-2.15,-1.40,-0.02,-0.00,-0.97,0.00,0.97,True,200,35.66,22.63,27.49,no_dodge,0
19,1749064252.72,13.92,1.25,-2.18,-1.40,-0.02,-0.00,-0.97,0.00,0.97,True,200,32.74,72.04,40.67,no_dodge,0
20,1749064252.75,13.95,1.25,-2.21,-1.40,-0.02,-0.00,-0.98,0.00,0.98,True,200,23.01,98.17,47.74,dodge_left,0
21,1749064255.00,16.20,1.24,-4.22,-1.32,-0.02,-0.00,-0.97,0.01,0.97,True,200,18.49,67.67,34.21,dodge_left,0
22,1749064257.26,18.45,1.24,-6.25,-1.32,-0.02,-0.00,-0.97,0.00,0.97,True,200,18.36,45.02,26.68,no_dodge,0
23,1749064257.28,18.48,1.24,-6.28,-1.32,-0.02,-0.00,-0.97,0.00,0.97,True,200,15.09,37.51,36.88,dodge_left,0
24,1749064259.54,20.73,1.24,-8.31,-1.32,-0.02,-0.00,-0.97,0.00,0.97,True,200,15.48,28.47,26.03,dodge_left,0
25,1749064261.79,22.98,1.24,-10.34,-1.32,-0.02,-0.00,-0.97,0.00,0.97,True,200,15.63,18.91,21.73,no_dodge,0
26,1749064261.82,23.01,1.24,-10.36,-1.32,-0.02,-0.00,-0.97,0.00,0.97,True,200,19.39,18.24,18.01,no_dodge,0
27,1749064261.85,23.04,1.24,-10.39,-1.32,-0.02,-0.00,-0.98,0.00,0.98,True,200,21.93,36.26,20.56,no_dodge,0
28,1749064261.88,23.07,1.24,-10.42,-1.32,-0.02,-0.00,-0.98,0.03,0.98,True,200,58.77,38.91,44.23,dodge_right,0
29,1749064264.13,25.32,1.24,-10.04,-1.42,-0.02,0.00,0.87,0.01,0.87,True,200,30.76,20.72,24.11,no_dodge,0
30,1749064264.15,25.35,1.24,-10.02,-1.42,-0.02,0.00,0.88,0.01,0.88,True,200,25.47,23.34,20.76,no_dodge,0
31,1749064264.18,25.37,1.24,-10.00,-1.42,-0.02,0.00,0.88,0.01,0.88,True,200,22.96,25.69,23.63,no_dodge,0
32,1749064264.20,25.40,1.24,-9.97,-1.42,-0.02,0.00,0.89,0.02,0.89,True,200,29.82,28.26,33.75,no_dodge,0
33,1749064264.23,25.42,1.24,-9.95,-1.41,-0.02,0.00,0.89,0.05,0.89,True,200,93.41,46.02,108.64,dodge_left,0
34,1749064266.48,27.67,1.24,-9.81,-1.42,-0.02,-0.00,-0.42,0.01,0.42,True,200,47.32,23.45,55.04,no_dodge,0
35,1749064266.51,27.70,1.24,-9.82,-1.42,-0.02,-0.00,-0.42,0.01,0.42,True,200,26.73,25.21,34.10,no_dodge,0
36,1749064266.53,27.73,1.24,-9.83,-1.42,-0.02,-0.00,-0.42,0.01,0.42,True,200,19.01,21.92,25.96,no_dodge,0
37,1749064266.56,27.76,1.24,-9.84,-1.42,-0.02,-0.00,-0.43,0.03,0.43,True,200,19.70,20.75,32.83,dodge_left,0
