frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749063178.53,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749063178.58,0.06,0.00,0.00,-0.96,0.00,0.00,0.00,0.04,0.04,False,200,1.19,0.58,0.68,blind_forward,0
3,1749063178.61,0.09,0.00,-0.00,-0.96,-0.00,0.00,-0.00,0.07,0.07,False,200,441.62,201.84,204.99,blind_forward,0
4,1749063178.65,0.12,0.00,-0.00,-0.95,-0.00,0.04,-0.00,-0.03,0.05,False,200,605.78,379.53,353.24,blind_forward,0
5,1749063178.68,0.16,0.00,-0.00,-0.96,-0.00,0.13,-0.00,-0.22,0.26,False,200,705.36,404.16,411.35,blind_forward,0
6,1749063178.71,0.19,0.01,-0.00,-0.97,-0.00,0.24,-0.00,-0.41,0.47,False,200,674.90,414.70,442.13,blind_forward,0
7,1749063178.75,0.22,0.02,-0.00,-0.99,-0.00,0.38,-0.00,-0.60,0.71,False,200,501.66,384.62,403.52,blind_forward,0
8,1749063178.78,0.26,0.03,-0.00,-1.01,-0.00,0.53,-0.00,-0.78,0.94,False,200,347.04,308.38,310.77,blind_forward,0
9,1749063178.81,0.29,0.05,-0.00,-1.04,-0.00,0.68,-0.00,-0.91,1.14,False,200,235.82,242.27,234.12,blind_forward,0
10,1749063178.84,0.32,0.08,-0.00,-1.06,-0.00,0.81,-0.00,-0.98,1.27,True,200,145.02,172.23,159.58,dodge_left,0
11,1749063181.10,2.57,1.26,-0.59,-1.15,0.03,0.08,-0.46,0.02,0.47,True,200,81.01,95.64,86.65,no_dodge,0
12,1749063181.13,2.61,1.26,-0.60,-1.15,0.03,0.08,-0.46,0.02,0.47,True,200,67.24,67.94,53.94,dodge_right,0
13,1749063183.39,4.87,1.32,0.17,-1.17,-0.01,0.00,0.90,0.01,0.90,True,200,44.98,42.00,31.35,dodge_right,0
14,1749063185.64,7.12,1.32,2.15,-1.16,-0.01,0.00,0.97,0.00,0.97,True,200,31.65,34.70,22.62,no_dodge,0
15,1749063185.68,7.15,1.32,2.18,-1.16,-0.01,0.00,0.97,0.00,0.97,True,200,38.66,49.30,94.30,dodge_left,0
16,1749063187.94,9.42,1.32,1.85,-1.26,-0.01,-0.00,-0.87,0.01,0.87,True,200,22.26,29.78,62.02,dodge_left,0
17,1749063190.20,11.68,1.32,-0.12,-1.26,-0.01,-0.00,-0.97,0.00,0.97,True,200,22.84,26.70,47.74,dodge_left,0
18,1749063192.46,13.94,1.32,-2.16,-1.26,-0.01,-0.00,-0.97,0.00,0.97,True,200,34.28,23.43,30.82,no_dodge,0
19,1749063192.49,13.96,1.32,-2.18,-1.26,-0.01,-0.00,-0.97,0.00,0.97,True,200,29.05,74.64,40.10,dodge_left,0
