frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749066403.37,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749066403.42,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,1.00,0.52,0.61,blind_forward,0
3,1749066403.44,0.08,0.00,0.00,-0.96,0.00,0.00,0.00,0.06,0.06,False,200,151.67,124.35,139.64,blind_forward,0
4,1749066403.48,0.11,0.00,0.00,-0.95,0.00,0.03,0.00,-0.00,0.03,False,200,247.54,229.33,216.46,blind_forward,0
5,1749066403.51,0.14,0.00,0.00,-0.96,0.00,0.10,0.00,-0.17,0.20,False,200,358.78,257.25,274.75,blind_forward,0
6,1749066403.54,0.18,0.01,0.00,-0.97,-0.00,0.21,0.00,-0.36,0.42,False,200,406.23,269.33,306.18,blind_forward,0
7,1749066403.57,0.21,0.02,0.00,-0.98,-0.00,0.33,0.00,-0.53,0.62,False,200,312.03,245.25,266.37,blind_forward,0
8,1749066403.60,0.24,0.03,0.00,-1.00,-0.00,0.46,0.00,-0.70,0.84,False,200,236.01,211.45,218.27,blind_forward,0
9,1749066403.63,0.27,0.04,0.00,-1.02,-0.00,0.60,-0.00,-0.84,1.04,False,200,167.31,168.06,166.31,blind_forward,0
10,1749066403.66,0.30,0.06,-0.00,-1.05,-0.00,0.73,-0.00,-0.94,1.20,False,200,108.06,120.69,116.03,blind_forward,0
11,1749066403.69,0.33,0.09,-0.00,-1.08,-0.00,0.86,-0.00,-1.00,1.32,False,200,65.16,84.54,77.42,blind_forward,0
12,1749066403.72,0.36,0.11,-0.00,-1.10,-0.00,0.96,-0.00,-1.03,1.41,False,200,41.65,52.65,46.82,blind_forward,0
13,1749066403.75,0.39,0.14,-0.00,-1.14,-0.00,1.07,-0.00,-1.04,1.49,False,200,39.46,31.56,32.98,blind_forward,0
14,1749066403.78,0.41,0.17,-0.00,-1.16,-0.00,1.17,-0.00,-1.03,1.56,False,200,46.19,24.85,33.10,blind_forward,0
15,1749066403.81,0.44,0.21,-0.00,-1.19,-0.00,1.26,-0.00,-1.02,1.62,False,200,60.04,29.90,42.54,blind_forward,0
16,1749066403.84,0.47,0.24,-0.00,-1.22,-0.00,1.36,-0.00,-0.99,1.68,False,200,75.73,38.92,53.69,blind_forward,0
17,1749066403.87,0.50,0.29,-0.00,-1.25,-0.00,1.45,-0.00,-0.95,1.73,False,200,87.66,48.01,64.08,blind_forward,0
18,1749066403.89,0.53,0.33,-0.00,-1.28,-0.00,1.54,-0.00,-0.91,1.79,False,200,92.86,53.27,68.95,blind_forward,0
19,1749066403.92,0.56,0.37,-0.00,-1.30,-0.00,1.61,-0.00,-0.88,1.83,False,200,97.58,58.66,74.27,blind_forward,0
20,1749066403.95,0.59,0.42,-0.00,-1.33,-0.00,1.69,-0.00,-0.83,1.89,False,200,102.97,63.41,78.64,blind_forward,0
21,1749066403.98,0.62,0.47,-0.00,-1.35,-0.00,1.77,-0.00,-0.78,1.94,False,200,113.02,70.80,87.43,blind_forward,0
22,1749066404.01,0.65,0.53,-0.00,-1.37,-0.00,1.85,-0.00,-0.74,1.99,False,200,126.00,79.29,97.76,blind_forward,0
23,1749066404.04,0.68,0.58,-0.00,-1.39,-0.00,1.93,-0.00,-0.69,2.05,False,200,121.94,75.56,94.24,blind_forward,0
24,1749066404.07,0.71,0.64,-0.00,-1.41,-0.00,2.01,-0.00,-0.64,2.11,False,200,126.13,77.77,97.53,blind_forward,0
25,1749066404.10,0.74,0.70,-0.00,-1.43,-0.00,2.08,-0.00,-0.60,2.16,False,200,131.95,80.15,99.87,blind_forward,0
26,1749066404.13,0.77,0.77,-0.00,-1.45,-0.00,2.15,-0.00,-0.56,2.22,False,200,134.34,80.57,101.19,blind_forward,0
27,1749066404.16,0.79,0.82,-0.00,-1.46,-0.00,2.21,-0.00,-0.52,2.27,False,200,131.45,75.00,97.42,blind_forward,0
28,1749066404.19,0.82,0.89,-0.00,-1.48,-0.00,2.28,-0.00,-0.48,2.33,False,200,136.60,76.44,100.25,blind_forward,0
29,1749066404.22,0.85,0.95,-0.00,-1.49,-0.00,2.33,-0.00,-0.45,2.38,False,200,139.58,77.40,102.16,blind_forward,0
30,1749066404.25,0.88,1.03,-0.00,-1.50,-0.00,2.40,-0.00,-0.42,2.43,False,200,144.33,75.85,103.13,blind_forward,0
31,1749066404.28,0.91,1.11,-0.00,-1.52,-0.00,2.46,-0.00,-0.38,2.49,False,200,146.18,79.02,107.97,blind_forward,0
32,1749066404.31,0.95,1.18,-0.00,-1.53,-0.00,2.52,-0.00,-0.35,2.55,False,200,142.31,74.79,104.84,blind_forward,0
33,1749066404.34,0.98,1.26,-0.00,-1.54,-0.00,2.58,-0.00,-0.32,2.60,False,200,141.97,72.83,102.07,blind_forward,0
34,1749066404.37,1.01,1.34,-0.00,-1.55,-0.00,2.64,-0.00,-0.29,2.66,False,200,141.15,68.66,100.15,blind_forward,0
35,1749066404.40,1.04,1.41,-0.00,-1.56,-0.00,2.69,-0.00,-0.27,2.70,False,200,142.04,67.92,99.59,blind_forward,0
36,1749066404.43,1.07,1.50,-0.00,-1.56,-0.00,2.74,-0.00,-0.25,2.75,False,200,139.17,61.36,92.03,blind_forward,0
37,1749066404.46,1.09,1.57,-0.00,-1.57,-0.00,2.78,-0.00,-0.23,2.79,False,200,138.18,60.99,93.92,blind_forward,0
