frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749041801.60,0.01,0.00,0.00,-0.97,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749041801.64,0.05,0.00,0.00,-0.97,0.00,0.00,0.00,0.03,0.03,True,200,0.95,0.64,0.80,no_dodge,0
3,1749041801.67,0.08,0.00,0.00,-0.97,-0.00,0.00,0.00,0.06,0.06,True,200,240.61,203.73,220.48,dodge_right,0
4,1749041803.93,2.34,0.22,0.59,-0.90,0.03,0.02,0.46,0.01,0.46,True,200,131.14,107.17,115.06,dodge_right,0
5,1749041806.19,4.60,0.23,1.59,-0.89,0.03,0.00,0.49,0.00,0.49,True,200,72.76,58.75,64.43,no_dodge,0
6,1749041806.22,4.63,0.23,1.61,-0.89,0.03,0.00,0.49,0.00,0.49,True,200,49.12,36.56,62.37,dodge_left,0
7,1749041808.47,6.88,0.23,0.85,-0.99,0.03,0.00,-0.90,0.00,0.90,True,200,29.52,25.38,51.96,dodge_left,0
8,1749041810.73,9.14,0.23,-1.13,-0.99,0.03,0.00,-0.97,0.00,0.97,True,200,28.79,29.44,35.97,no_dodge,0
9,1749041810.76,9.17,0.23,-1.15,-0.99,0.03,0.00,-0.97,0.00,0.97,True,200,49.98,46.54,34.72,dodge_right,0
10,1749041813.01,11.42,0.23,-0.82,-1.17,0.03,-0.00,0.87,0.00,0.87,True,200,33.66,28.71,20.06,dodge_right,0
11,1749041815.28,13.69,0.23,1.14,-1.17,0.03,-0.00,0.97,0.00,0.97,True,200,40.43,32.81,21.87,dodge_right,0
12,1749041817.54,15.95,0.23,3.18,-1.17,0.03,-0.00,0.97,0.00,0.97,True,200,33.43,29.00,26.56,no_dodge,0
13,1749041817.57,15.98,0.23,3.20,-1.17,0.03,-0.00,0.97,0.00,0.97,True,200,38.42,59.02,22.93,dodge_right,0
14,1749041819.82,18.23,0.23,5.23,-1.18,0.03,-0.00,0.97,0.00,0.97,True,200,34.94,43.79,20.95,dodge_right,0
