frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749063533.96,0.01,0.00,0.00,-0.96,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749063534.00,0.05,0.00,0.00,-0.96,0.00,0.00,0.00,0.03,0.03,False,200,1.03,0.71,0.83,blind_forward,0
3,1749063534.04,0.08,0.00,0.00,-0.96,0.00,0.00,0.00,0.06,0.06,False,200,336.80,202.89,225.87,blind_forward,0
4,1749063534.07,0.11,0.00,0.00,-0.96,0.00,0.04,0.00,-0.02,0.04,False,200,549.85,370.49,384.12,blind_forward,0
5,1749063534.10,0.14,0.00,0.00,-0.96,0.00,0.11,0.00,-0.19,0.22,False,200,660.97,425.97,471.30,blind_forward,0
6,1749063534.13,0.17,0.01,0.00,-0.97,0.00,0.21,0.00,-0.36,0.42,False,200,624.80,446.37,510.32,blind_forward,0
7,1749063534.16,0.21,0.02,0.00,-0.98,-0.00,0.33,0.00,-0.53,0.62,False,200,509.56,423.88,458.46,blind_forward,0
8,1749063534.19,0.24,0.03,0.00,-1.00,-0.00,0.46,0.00,-0.70,0.84,False,200,380.58,350.00,358.82,blind_forward,0
9,1749063534.22,0.26,0.04,0.00,-1.02,-0.00,0.59,0.00,-0.83,1.02,False,200,289.27,296.06,288.56,blind_forward,0
10,1749063534.25,0.29,0.06,0.00,-1.05,-0.00,0.73,0.00,-0.94,1.20,True,200,190.20,215.03,199.34,no_dodge,0
11,1749063534.28,0.32,0.08,0.00,-1.08,-0.00,0.85,0.00,-1.00,1.31,True,200,115.72,151.60,131.25,dodge_left,0
12,1749063536.53,2.58,1.33,-0.59,-1.18,0.04,0.09,-0.46,0.02,0.47,True,200,64.85,83.77,71.82,no_dodge,0
13,1749063536.56,2.61,1.33,-0.60,-1.18,0.04,0.08,-0.46,0.02,0.47,True,200,64.51,57.09,46.79,dodge_right,0
14,1749063538.82,4.87,1.38,0.17,-1.26,-0.01,0.00,0.90,0.00,0.90,True,200,44.84,35.40,28.02,dodge_right,0
15,1749063541.08,7.12,1.38,2.15,-1.26,-0.01,0.00,0.97,0.00,0.97,True,200,31.95,33.14,19.37,dodge_right,0
16,1749063543.34,9.38,1.39,4.18,-1.26,-0.01,0.00,0.97,0.00,0.97,True,200,23.81,25.63,23.38,no_dodge,0
17,1749063543.37,9.41,1.39,4.21,-1.26,-0.01,0.00,0.97,0.00,0.97,True,200,82.16,31.94,18.81,dodge_right,0
18,1749063545.62,11.67,1.39,6.24,-1.26,-0.01,0.00,0.97,0.00,0.97,True,200,64.02,30.54,18.10,dodge_right,0
